pdf,file_num,well_name,operator,api,latitude,longitude
W11745.pdf,11745,Basic Game & Fish 34-3,"RIM Operating, Inc",33-053-02102,,
W11920.pdf,11920,Corps of Engineers 31-10,"RIM Operating, Inc",33-053-02148,,
W20407.pdf,20407,CHALMERS 5300 31-19H,OASIS PETROLEUM NORTH AMERICA LLC,33-053-03472,"48° 03' 26.47""","-103° 36' 09.41"""
W20863.pdf,20863,,,33-053-03608,"48° 04' 57.94""","-103° 36' 41.78"""
W21796.pdf,21796,DAHL FEDERAL 2-15H NWNE,Oasis Petroleum North America LLC |,33-053-03846,"48° 04' 49.25""","-103° 39' 20.15"""
W20864.pdf,20864,,,33-053-03609,"48° 04' 57.96""","-103° 36' 43.25"""
W21266.pdf,21266,DAHL 15-11H SWSE,Oasis Petroleum North America LLC,33-053-03703,"48° 04' 56.38""","-103° 38' 09.24"""
W20197.pdf,20197,,,,"48° 02° 49.42""","-103° 36° 11.54"""
W22099.pdf,22099,,,33-053-03911,"48° 04' 5850""","-103° 37' 22.96"""
W22220.pdf,22220,,,33-053-03936,"48° 04' 58.05""","-103° 36' 50.36"""
W22221.pdf,22221,INNOKO 5301 43-12T SWSE,Oasis Petroleum North America LLC (,33-053-03937,"48° 04' 58.07""","-103° 36' 51.83 """
W22247.pdf,22247,Magnum 1-36-25H,,33-053-03943,"48° 01° 30.33""","-103° 37' 20.35"""
W22249.pdf,22249,,,33-053-03944,"48° 01' 29.87""","-103° 36' 18.60"""
W22731.pdf,22731,,,33-053-04069,"48° 01' 29.87""","-103° 36' 18.97"""
W22740.pdf,22740,LARRY 5301 44-128 SESt,Oasis Petroleum North America LLC (281) 404-9,33-053-04071,"48° 04' 57.76""","-103° 36' 26.65"""
W23230.pdf,23230,ASH FEDERAL 5300 11-18T LOT1,"Oasis Petroleum North America LLC ,",33-053-04211,"48° 04' 47.25""","-103° 36' 09.72"""
W23360.pdf,23360,Atlanta 13-6H,"Continental Resources, Inc.",33-105-02720,,
W23359.pdf,23359,Atlanta 14-6H,"Continental Resources, Inc.",33-105-02719,,
W23361.pdf,23361,"Continental Resources, Inc.",,33-105-02721,,
W23363.pdf,23363,Atlanta Federal 10-6H,"Continental Resources, Inc.",33-105-02723,,
W23362.pdf,23362,Atlanta 11-6H,"Continental Resources, Inc.",33-105-02722,,
W23364.pdf,23364,Atlanta Federal 9-6H,"Continental Resources, Inc.",83-105-02724,,
W23365.pdf,23365,Atlanta Federal 8-6H,"Continental Resources, Inc.",83-105-02725,,
W15358.pdf,15358,Lewis & Clark 2-4H,RIM Operatin,33-053-02556,,
