API_Number,Well_Name,Status,Type,Closest_City,First_Production_Date,Most_Recent_Production_Date,Latitude_Longitude
33-053-02102,Basic Game & Fish 34-3,Active,Oil & Gas,Williston,January 1986,December 2025,"48.097836, -103.645192"
33-053-02148,Corps of Engineers 31-10,Plugged and Abandoned,Oil & Gas,Williston,November 1986,December 2025,"48.094925, -103.656644"
33-053-03472,CHALMERS 5300 31-19H,Abandoned,Oil & Gas,Williston,December 2011,December 2025,"48.057438, -103.602355"
33-053-03608,nan,Active,Oil & Gas,Williston,November 2011,December 2025,"48.082690, -103.611486"
33-053-03846,DAHL FEDERAL 2-15H NWNE,Active,Oil & Gas,Williston,May 2012,December 2025,"48.080324, -103.655498"
33-053-03609,nan,Active,Oil & Gas,Williston,January 2012,December 2025,"48.082698, -103.611895"
33-053-03703,DAHL 15-11H SWSE,Plugged and Abandoned,Oil & Gas,Williston,January 2012,December 2025,"48.082328, -103.635729"
33-053-03911,nan,Active,Oil & Gas,Williston,September 2013,December 2025,"48.082914, -103.622634"
33-053-03936,nan,Active,Oil & Gas,Williston,March 2012,December 2025,"48.082743, -103.614283"
33-053-03937,INNOKO 5301 43-12T SWSE,Active,Oil & Gas,Williston,September 2013,December 2025,"48.082730, -103.613628"
33-053-03943,Magnum 1-36-25H,Active,Oil & Gas,Williston,April 2012,December 2025,"48.025064, -103.622135"
33-053-03944,nan,Active,Oil & Gas,Williston,February 2013,December 2025,"48.024944, -103.605063"
33-053-04069,nan,Inactive,Oil & Gas,Williston,July 2012,December 2025,"48.024944, -103.605166"
33-053-04071,LARRY 5301 44-128 SESt,Active,Oil & Gas,Williston,September 2012,December 2025,"48.082612, -103.607281"
33-053-04211,ASH FEDERAL 5300 11-18T LOT1,Active,Oil & Gas,Williston,November 2012,December 2025,"48.079672, -103.602545"
33-105-02720,Atlanta 13-6H,Active,Oil & Gas,Williston,February 2014,December 2025,"48.109439, -103.727678"
33-105-02719,Atlanta 14-6H,Active,Oil & Gas,Williston,February 2014,December 2025,"48.109434, -103.727494"
33-105-02721,"Continental Resources, Inc.",Inactive,Oil & Gas,Williston,February 2014,December 2025,"48.109444, -103.727862"
33-105-02723,Atlanta Federal 10-6H,Active,Oil & Gas,Williston,February 2014,December 2025,"48.109455, -103.728231"
33-105-02722,Atlanta 11-6H,Active,Oil & Gas,Williston,February 2014,December 2025,"48.109450, -103.728047"
33-053-02556,Lewis & Clark 2-4H,Active,Oil & Gas,Williston,June 2003,December 2025,"48.104997, -103.670242"
33-105-02726,Atlanta Federal 7-6H,Active,Oil & Gas,Williston,February 2014,December 2025,"48.109499, -103.729788"
33-105-02727,Atlanta Federal 6-6H,Active,Oil & Gas,Williston,February 2014,December 2025,"48.109504, -103.729972"
33-105-02728,Atlanta Federal 5-6H,Active,Oil & Gas,Williston,February 2014,December 2025,"48.109510, -103.730156"
33-105-02730,Atlanta 3-6H,Active,Oil & Gas,Williston,March 2013,December 2025,"48.109540, -103.731160"
33-105-02732,Atlanta 1-6H,Inactive,Oil & Gas,Williston,March 2013,December 2025,"48.109552, -103.731528"
33-105-02731,Atlanta 2-6H,Active,Oil & Gas,Williston,February 2014,December 2025,"48.109546, -103.731344"
33-053-04852,Columbus Federal 1-16H,Active,Oil & Gas,Williston,July 2013,December 2025,"48.074859, -103.670170"
33-053-04853,Tallahassee 3-16H,Active,Oil & Gas,Williston,March 2014,December 2025,"48.075131, -103.669967"
33-053-04856,Columbus Federal 3-16H,Active,Oil & Gas,Williston,March 2014,December 2025,"48.075449, -103.669687"
33-053-04855,nan,Active,Oil & Gas,Williston,March 2014,December 2025,"48.075342, -103.669780"
33-053-04854,nan,Active,Oil & Gas,Williston,March 2014,December 2025,"48.075235, -103.669874"
33-053-04981,nan,Active,Oil & Gas,Williston,September 2013,December 2025,"48.082623, -103.607895"
33-053-05845,Operator,Active,Oil & Gas,Williston,September 2019,December 2025,"48.031718, -103.603085"
33-053-05906,WADE FEDERAL 5300 31-30 11T LOT3,Active,Oil & Gas,Williston,May 2015,December 2025,"48.044162, -103.602670"
33-053-05849,LEWIS FEDERAL 5300 21-31 5B,Active,Oil & Gas,Williston,September 2019,December 2025,"48.031808, -103.603086"
33-053-05924,nan,Active,Oil & Gas,Williston,December 2014,December 2025,"48.055866, -103.604903"
33-053-05943,WADE FEDERAL 5300 41-30 4T LO1,Active,Oil & Gas,Williston,May 2015,December 2025,"48.042266, -103.603158"
33-053-05954,nan,Inactive,Oil & Gas,Williston,June 2015,December 2025,"48.041298, -103.603014"
33-053-05995,WADE FEDERAL 5300 31-30 2B LO,Active,Oil & Gas,Williston,May 2015,December 2025,"48.042447, -103.603155"
33-053-06010,CHALMERS 5301 44-24 3BR SESE,Active,Oil & Gas,Williston,December 2014,December 2025,"48.055776, -103.604903"
33-053-05998,WADE FEDERAL 5300 41-30 7T,Active,Oil & Gas,Williston,June 2015,December 2025,"48.041208, -103.603016"
33-053-06012,nan,Active,Oil & Gas,Williston,December 2014,December 2025,"48.055551, -103.604905"
33-053-06018,nan,Active,Oil & Gas,Williston,July 2015,December 2025,"48.061796, -103.602522"
33-053-06019,CHALMERS 5300 21-19 6B LOT?,Active,Oil & Gas,Williston,July 2015,December 2025,"48.061706, -103.602522"
33-053-06021,nan,Active,Oil & Gas,Williston,July 2015,December 2025,"48.061525, -103.602523"
33-053-06022,nan,Active,Oil & Gas,Williston,May 2015,December 2025,"48.061344, -103.602525"
33-053-06025,KLINE FEDERAL 5300 41-18 9T Swsw,Active,Oil & Gas,Williston,September 2015,December 2025,"48.069087, -103.602869"
33-053-06024,CHALMERS 5300 21-19 11B LOT:,Active,Oil & Gas,Williston,May 2015,December 2025,"48.061254, -103.602525"
33-053-06023,nan,Active,Oil & Gas,Williston,May 2015,December 2025,"48.061434, -103.602524"
33-053-06011,nan,Abandoned,Oil & Gas,Williston,December 2014,December 2025,"48.055641, -103.604904"
33-053-06026,nan,Active,Oil & Gas,Williston,September 2015,December 2025,"48.068997, -103.602868"
33-053-06028,nan,Plugged and Abandoned,Oil & Gas,Williston,August 2015,July 2024,"48.068726, -103.602865"
33-053-06029,nan,Active,Oil & Gas,Williston,August 2015,December 2025,"48.068635, -103.602863"
33-053-06030,KLINE FEDERAL 5300 41-18 12TX LOT4,Active,Oil & Gas,Williston,September 2015,December 2025,"48.068816, -103.602866"
33-105-02729,Atlanta 4-6H,Active,Oil & Gas,Williston,February 2014,December 2025,"48.109535, -103.730975"
33-053-06051,WADE FEDERAL 5300 41-30 9B LOT:,Active,Oil & Gas,Williston,June 2015,December 2025,"48.041027, -103.603020"
33-053-00605,KLINE FEDERAL 5300 31-18 8B LOT3,Plugged and Abandoned,Oil & Gas,Medora,April 1973,September 2016,"47.346236, -103.554430"
33-053-06056,KLINE FEDERAL 5300 31-18 7T LOT3,Active,Oil & Gas,Williston,September 2015,December 2025,"48.074452, -103.602935"
33-053-06057,KLINE FEDERAL 5300 31-18 6B LOT3,Abandoned,Oil & Gas,Williston,September 2015,December 2025,"48.074362, -103.602934"
33-053-06223,KLINE FEDERAL 5300 11-18 5B LOT1,Active,Oil & Gas,Williston,August 2015,December 2025,"48.078987, -103.602835"
33-053-06129,WADE FEDERAL 5300 21-30 12T SWNY,Active,Oil & Gas,Williston,May 2015,December 2025,"48.048736, -103.602904"
33-053-06131,nan,Active,Oil & Gas,Williston,April 2015,December 2025,"48.048917, -103.602900"
33-053-06225,KLINE FEDERAL 5300 11-18 3T LOT1,Active,Oil & Gas,Williston,August 2015,December 2025,"48.079069, -103.602783"
33-053-06231,GRAMMA FEDERAL 5300 41-31 128 LOT4,Active,Oil & Gas,Williston,June 2015,December 2025,"48.026154, -103.602783"
33-053-06232,nan,Active,Oil & Gas,Williston,July 2015,December 2025,"48.026335, -103.602785"
33-053-06548,LEWIS FEDERAL 5300 11-31 3B,Active,Oil & Gas,Williston,September 2019,December 2025,"48.035835, -103.603111"
33-053-06243,KLINE FEDERAL 5300 11-18 2B LOT1,Active,Oil & Gas,Williston,September 2015,December 2025,"48.079234, -103.602670"
33-053-06549,Oasis Petroleum North America LLC,Active,Oil & Gas,Williston,September 2019,December 2025,"48.035926, -103.603100"
33-053-06755,KLINE FEDERAL 5300 31-18 15T LOT3,Active,Oil & Gas,Williston,September 2015,December 2025,"48.074633, -103.602938"
33-053-08946,Operator,Active,Oil & Gas,Williston,September 2019,December 2025,"48.035654, -103.603130"
33-053-90329,CARSON SWD 5301 12-24 NENV,Active,Salt Water Disposal,Williston,N/A,N/A,"48.066082, -103.615308"
33-053-90244,nan,Active,Salt Water Disposal,Williston,N/A,N/A,"48.029100, -103.599403"
