file_no,well_name,location,county,is_ocr,source_file
600,,,McKenzie,True,W11745.pdf
,Corps of Engineers 31-10  Footages,NWNE Section 10,,True,W11920.pdf
,,,Billings,True,W15358.pdf
,,NWSW Section 153,,True,W20197.pdf
,,,,True,W20407.pdf
,24-HOUR PRODUCTION RATE Foley Federal 43-12H  Footages,SWSE Section 12,McKenzie,True,W20863.pdf
,,,McKenzie,False,W20864.pdf
21266,,,McKenzie,True,W21266.pdf
,24-HOUR PRODUCTION RATE  Dahi Federal 2-15H Footages,NWNE Section 15,,True,W21796.pdf
,,,McKenzie,False,W22099.pdf
600,24-HOUR PRODUCTION RAT E (see details) Before After Footages L I,SESE Section 12,McKenzie,False,W22220.pdf
22221,24-HOUR PRODUCTION RATE lnnoko 5301 41-12T Before After Footages,SWSE Section 12,McKenzie,False,W22221.pdf
600,,,,True,W22247.pdf
,24-HOUR PRODUCTION RATE  Magnum 2-36-25H,,McKenzie,True,W22249.pdf
5,,,McKenzie,True,W22731.pdf
600,24-HOUR PRODUCTION RAT E (see details) Before After Footages L I,SESE Section 12,McKenzie,False,W22740.pdf
,,,McKenzie,False,W23230.pdf
600,,,,True,W23359.pdf
600,,,,True,W23360.pdf
600,,NENW Section 6,,True,W23361.pdf
600,,,,True,W23362.pdf
600,,NENW Section 6,Williams,True,W23363.pdf
,,,,True,W23364.pdf
600,,NWNW Section 6,Williams,True,W23365.pdf
600,,NWNW Section 6,Williams,True,W23366.pdf
600,,NWNW Section 6,Williams,True,W23367.pdf
23368,,NWNW Section 6,Williams,True,W23368.pdf
600,,NWNW Section 6,Williams,True,W23369.pdf
,,NWNW Section 6,Williams,True,W23370.pdf
600,,,,True,W23371.pdf
600,,NWNW Section 6,Williams,True,W23372.pdf
600,24-HOUR PRODUCTION RATE  Columbus Federal 1-16H  Footages,SENE Section 16,McKenzie,True,W25156.pdf
25157,,,McKenzie,True,W25157.pdf
,,,,True,W25158.pdf
600,,,,True,W25159.pdf
600,,,,True,W25160.pdf
600,24-HOUR PRODUCTION RATE Colville 5301 44-12T Before After Footages I,SESE Section 12,McKenzie,False,W25571.pdf
,,,,True,W28190.pdf
,,,McKenzie,True,W28194.pdf
600,,,McKenzie,False,W28303.pdf
,24-HOUR PRODUCTION RAT E Chalmers 5301 44-24 2TR Before After Footages I,SESE Section 24,McKenzie,False,W28342.pdf
28394,,,McKenzie,True,W28394.pdf
600,24-HOUR PRODUCTION RATE  Wade Federal 5300 41-30 6B  Footages,,McKenzie,True,W28425.pdf
,24-HOUR PRODUCTION RATE Wade Federal 5300 31-30 2B Before After Footages I,,McKenzie,False,W28554.pdf
600,Wade Federal 5300 41-30 7T  Footages,,McKenzie,True,W28557.pdf
,Chalmers 5301 44-24 3BR Footages,SESE Section 24,McKenzie,True,W28599.pdf
28600,,,McKenzie,True,W28600.pdf
,Chalmers Wade Federal 5301 44-24 12TXR Footages,SESE Section 24,McKenzie,True,W28601.pdf
600,24-HOUR PRODUCTION RATE  Chalmers 5300 21-19 5T  Footages,,McKenzie,True,W28633.pdf
,,,,True,W28634.pdf
600,Chalmers 5300 21-19 8T  Footages,,McKenzie,True,W28636.pdf
28637,,,McKenzie,True,W28637.pdf
,,,McKenzie,True,W28648.pdf
,24-HOUR PRODUCTION RATE Chalmers 5300 21-19 11 B Before After Footages I,,McKenzie,False,W28649.pdf
4,,,McKenzie,True,W28651.pdf
,,SWSW Section 18,McKenzie,True,W28652.pdf
600,24-HOUR PRODUCTION RATE Kline Federal 5300 41-18 13T2X Before After Footages I,,McKenzie,False,W28654.pdf
600,Kline Federal 5300 41-18 14BX_ - Footages,,,True,W28655.pdf
,,,,False,W28658.pdf
,Wade Federla 5300 41-30 9B Footages 811 F SL 280 F WL  Field Pool County Baker Bakken Williams  [_] Notice of Intent  Plug Well  Other  ;,,Williams,True,W28744.pdf
600,Kline Federal 5300 31-18 8B Footages,,McKenzie,True,W28754.pdf
28755,,,McKenzie,True,W28755.pdf
600,24-HOUR PRODUCTION RATE Kline Federal 5300 31-18 6B Before After Footages s ',,McKenzie,False,W28756.pdf
600,Wade Federal 5300 21-30 12T Footages,SWNW Section 30,McKenzie,True,W28976.pdf
,,,,False,W28978.pdf
,,,McKenzie,True,W29242.pdf
29244,,,McKenzie,True,W29244.pdf
600,24-HOUR PRODUCTION RATE Gramma Federal 5300 41-3112B Before After Footages I,,McKenzie,False,W29316.pdf
,24-HOUR PRODUCTION RATE  Gramma Federal 5300 41-31 13T  Footages,,McKenzie,True,W29317.pdf
29334,,,McKenzie,True,W29334.pdf
,,,McKenzie,False,W30188.pdf
,,,McKenzie,True,W30189.pdf
,24-HOUR PRODUCTION RATE  Kline Federal 5300 31-18 15T Footages,,McKenzie,True,W30789.pdf
,,,McKenzie,False,W36047.pdf
90244,,NWSW Section 31,,True,W90244.pdf
600,24-HOUR PRODUCTION RATE Atlanta #1 SWD I Before After Footages I,NWNW Section 6,Williams,False,W90258.pdf
,,,,True,W90329.pdf
